id,Year1979,Year1980,Year1981,Year1982,Year1983,Year1984,Year1985,Year1986,Year1987,Year1988,Year1989,Year1990,Year1991,Year1992,Year1993,Year1994,Year1995,Year1996,Year1997,Year1998,Year1999,Year2000,Year2001,Year2002,Year2003,Year2004,Year2005,Year2006,Year2007,Year2008,Year2009,Year2010,Year2011,Year2012,Year2013,Year2014,Year2015,Year2016,Year2017,Year2018
ABW,0.3010299957,0,1.278753601,0,1.5051499783,1.6627578317,1.4913616938,1.5440680444,1.4913616938,1.4313637642,1.1139433523,1.079181246,1.0413926852,0.4771212547,0.9542425094,1.1461280357,1.079181246,1.5051499783,1.6020599913,1.7708520116,1.6232492904,1.5051499783,2.0253058653,1.8195439355,1.5051499783,1.6127838567,2.8247764625,2.5037906831,2.8904210188,2.7930916002,2.8704039053,3.1510632534,3.4852954387,3.0614524791,2.7058637123,3.2988530764,3.2866809694,3.2612628688,3.2734642726,2.5378190951
AFG,3.3993275322,4.0693350348,3.8375884382,3.5981336458,3.6710802327,3.6905504615,3.7641013765,3.8949249774,4.0150242633,4.2444997788,4.12499302,3.6018427898,3.7492724083,3.9895388033,3.7800291273,3.7850449583,3.83524654,4.1858819784,4.1404766168,4.2129329917,4.167583148,4.2277839009,4.8825586882,4.8657315594,4.8506462352,4.7368425207,4.5671087448,4.8929734376,5.221294236,5.2846630474,5.533254612,5.4743255526,5.4987046867,5.518219046,5.4344778843,5.5073997579,5.5918823148,5.6307430564,5.5292865924,4.6818018391
AFR,3.6504046699,3.6006462357,3.8308451923,3.7562556488,3.8261396179,4.0193655746,4.2181677484,4.3240559868,4.1635191626,4.2585175599,4.187012807,4.2615007732,4.295325147,4.1468099628,4.1462831132,4.2033593015,4.1276230496,4.3385162548,4.5480575813,4.6458543837,4.6313321369,4.5989326958,4.6384193649,4.7170294041,4.7190825739,4.6565294062,4.5931752635,4.7549824929,4.8852990119,5.0891488516,5.2369929811,5.1106671357,5.2887967801,5.2939831632,5.4208036934,5.5043702631,5.673882187,5.7345838284,5.6739263564,4.898670343
AGO,2.9867717343,2.9355072658,3.2929202996,3.2294258479,3.3463529745,3.5418287668,3.4560622245,3.4729026518,3.4954055631,3.8803561994,3.713322505,3.5658478187,3.5978048424,3.6956567599,3.8523579837,3.8151791301,3.7057782128,3.7079957464,3.9032528169,4.1860517905,4.1646204891,4.1371641451,4.2202650336,4.1447920785,4.1685858655,4.0392554438,3.8080082999,3.9531312252,3.9910044403,4.0766404437,4.3260079678,4.1804412982,4.4001752063,4.3673372814,4.2972789102,4.2039027811,4.3832227421,4.3894318976,4.3356785024,3.5025636691
AIA,0.7781512504,0.4771212547,1.1139433523,0.3010299957,0.3010299957,1.1461280357,0.4771212547,0,0.7781512504,0.6989700043,1,0,0.3010299957,0,0,1.3802112417,1.414973348,1.8195439355,1.4623979979,1.1760912591,1.7323937598,1.7242758696,1.6812412374,1.5185139399,1.5797835966,1.3802112417,1.6334684556,1.7160033436,1.9190780924,2.1398790864,2.3891660844,2.6106601631,2.6170003411,2.6748611407,2.7589118924,2.8115750059,3.1455071714,3.1720188094,3.3502480183,2.2174839442
ALB,2.9585638832,2.7839035793,3.0008677215,2.8680563618,2.890979597,2.9867717343,3.1132746925,3.0557604647,3.2033049161,3.2931414835,3.314499228,3.6065963092,3.7495044239,3.5848963441,3.6758699553,3.7160033436,3.6648299411,3.8661691476,4.4378456534,4.6813950228,4.7185764176,4.3395309387,4.4929837628,4.0390967104,4.1054420548,4.0480142909,3.8470170979,3.9417101489,4.1757147073,4.1193218865,4.1062249049,3.9265482246,4.1174038844,4.0177843531,4.0724704823,4.2050418793,4.4434351061,4.403000344,4.383384447,3.6606757883
AND,0,0,0,0,0,1.0413926852,1.0413926852,0.6020599913,0.4771212547,0.3010299957,0.3010299957,0,0.903089987,0.4771212547,1.4313637642,1,1,1.5440680444,1.4913616938,1.7242758696,1.2552725051,1.591064607,1.4313637642,1.2552725051,1.6434526765,1.2552725051,1,1.5185139399,2.0170333393,1.9190780924,2.5740312677,2.361727836,2.2741578493,2.3324384599,2.4885507165,2.5171958979,2.9684829486,2.710963119,2.6551384348,1.5563025008
ARE,2.5289167003,2.587710965,2.8007170783,2.7520484478,2.8142475957,2.8247764625,2.9003671287,3.0157787564,3.193958978,3.0831441431,2.7693773261,3.0820669343,3.2801228963,3.096910013,3.1383026982,3.3215984305,3.4405942618,3.4707044297,3.612995656,3.5737995822,3.7025166974,3.6423655808,3.7277038837,3.581608366,3.7113853791,3.6392872259,3.3692158574,3.8712809729,4.4366555222,4.5652337077,4.8311336004,4.7210352806,4.783067043,4.8248739727,4.8397419378,4.98352706,5.1414340946,5.1413588286,5.1623164235,4.3703280078
ARG,2.8007170783,3.0119931147,3.1646502159,4.2023793211,3.4952667444,3.5535189401,3.4613484336,3.6258267133,3.5784099703,3.5646660643,3.5060989599,3.4039779637,3.4613484336,3.3490831688,3.3935752033,3.7649229846,3.7554937284,3.9182400902,4.0319736891,4.0544215245,4.0701856864,3.8451600777,4.0153178331,3.8444771757,4.0009977304,3.8589580547,3.5971464878,3.7685641095,4.0647573994,4.3309816377,4.6135881452,4.4979795366,4.496029699,4.6262171458,4.6918591644,4.6751915563,4.8644517472,4.8502295046,4.773347542,3.9536630637
ARM,2.0128372247,2.198657087,2.6444385895,2.7411515989,2.7831886911,2.4216039269,2.3324384599,2.3598354823,2.2355284469,3.6775157048,3.1058506744,3.3426200426,3.4989993636,3.827046017,3.5982431917,3.4067104586,3.3314272965,3.6026025204,3.8235394337,3.8619523749,4.118198568,4.0913855421,4.214711421,4.0774405845,4.0801934194,4.0838966027,3.8590782247,3.878923734,4.0860037056,4.169027506,4.6660684779,4.759524315,4.8814645459,4.9120200121,4.9284931479,4.9522934683,5.0594687488,5.1232340467,4.9277039127,4.0888091665
ASA,0.7781512504,0.84509804,0.903089987,0.6989700043,1.3979400087,0.6020599913,1.1461280357,2.2504200023,1.7160033436,1.8573324964,2.1702617154,1.9777236053,2.0128372247,2.3598354823,2.5092025223,2.3364597338,2.2253092817,2.2479732664,2.531478917,2.6493348587,2.4393326938,2.6138418219,2.630427875,2.6294095991,2.3961993471,2.4313637642,2.434568904,2.723455672,2.8293037728,2.9749719943,3.300160537,3.1476763242,3.1849751907,3.2250506961,3.2713768719,3.4372747974,3.5331362883,3.7030333047,3.5901728316,2.6106601631
