id,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AG,1490,2388,2477,1931,2103,2122,2075,2160,2763,4670,2639,2954,5207,4267,4063,9876,10795,8967,14763,18222,18566,18003,17537,11709,17346,11867,8593,9042,21463,18584,23656,21339,37686,47170,104007,54510,58936,62629,38559,4890
UK,14887,15963,28330,42756,27686,33469,29118,34370,27105,30623,26994,29002,39895,22891,31731,47819,47407,67991,84295,125957,116262,105086,115049,107041,152258,111818,107500,212793,496429,547501,843055,706923,890964,996198,1168347,1579701,2614946,3225967,2898088,364019
AY,4,9,25,44,40,46,53,46,48,66,88,57,74,27,19,41,29,57,80,75,172,83,110,131,117,93,80,220,1059,1162,1886,1530,1941,2629,3009,3718,6187,8207,7329,1007
TS,555,1016,887,1704,1775,1551,3158,1605,2208,3613,3362,2538,2847,2144,4512,4579,2557,3378,3704,3744,4488,5841,6558,5011,5132,7736,3523,3236,5470,6738,10646,10560,142165,83424,98629,51958,99872,70886,43632,8380
OS,117,188,269,183,281,237,216,511,396,367,242,324,390,783,712,1074,1121,2127,2323,2274,3017,2065,3287,2636,2687,1900,1266,1943,4600,5891,8568,11499,12376,12486,13738,21524,29091,33316,23151,2600
LH,174,106,109,230,337,326,264,245,613,1241,1674,9864,9103,2909,2150,3461,3515,5249,9061,7111,9790,10750,12233,8647,8363,6100,3715,4596,5440,7413,12467,10288,16391,13104,32605,31984,40673,36694,34584,4869
PA,131,408,198,86,201,552,714,403,472,827,755,235,358,209,398,651,589,2694,3033,3666,5651,2436,1903,1694,2495,1733,1154,1615,2803,5802,10260,4269,4612,9662,6021,8519,16446,10526,9880,997
PU,151,153,70,94,60,90,113,182,100,201,214,285,198,196,126,156,122,217,248,4677,2513,2419,2721,1833,4765,2365,1804,1132,1323,2090,5757,2813,2382,7522,2364,2810,4172,3056,2446,305
HQ,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,8,0,1,2,0,0,0,0,0,0,6,0,7,1,5,117,6,61,78,48,104,7
MQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,8,0,3,0,2,0,13,0,1,0
BE,1140,1436,1773,2171,1965,2403,3243,2278,3047,2200,3080,3344,4196,3013,5543,8179,6724,12534,17040,20491,23349,19234,29729,18231,24015,22802,16831,25852,41319,52425,81079,68950,86517,85088,88920,137927,211257,333147,221953,27156
RI,170,104,149,203,104,61,204,216,237,812,631,1141,5258,5148,4200,3334,4797,8475,10042,16031,35876,29625,21838,9174,15930,10882,7885,13948,27700,38912,34555,30282,43150,27348,23099,31389,54246,44479,38149,5330
GP,57,31,28,10,38,62,235,12,17,3,75,6,22,9,2,21,35,64,51,92,124,83,60,23,59,34,35,75,142,73,1499,199,217,330,250,242,927,853,1885,110
PF,6,1,0,0,0,0,0,1,0,0,0,0,2,3,0,0,1,13,19,2,8,1,0,0,2,2,1,0,3,4,23,49,41,179,62,508,159,1018,239,7
FK,1,0,0,785,74,15,3,16,3,1,0,6,7,14,1,2,7,16,5,3,42,2,0,6,7,5,0,59,99,45,81,140,200,515,131,74,233,615,494,82
AQ,9,5,1,33,1,2,2,2,15,4,15,6,6,1,9,15,13,14,35,45,61,69,105,79,51,39,25,108,275,593,728,931,904,1319,825,1297,2495,3545,2072,227
CO,685,2144,1706,1670,5142,4652,4578,4499,2996,4701,10471,10029,6409,3771,5648,7705,9893,17580,15453,19483,32412,38845,39300,32563,32773,20616,14482,13219,39714,84112,71747,54037,59340,73236,56836,75642,100356,128233,105318,13984
JM,193,455,249,375,814,573,781,543,651,474,418,229,419,313,653,835,668,1006,1317,1099,1713,1066,1537,2054,2902,5497,2393,5153,11355,15138,55329,54500,68530,68587,62076,69165,98267,103619,91282,13690
CE,633,543,801,872,1849,2845,4575,5382,9579,6131,7511,6812,6647,4708,5174,6144,11850,12020,13589,13818,10880,20889,16242,13896,19550,15487,14871,36579,63673,82559,199841,102278,118920,110866,134781,157679,270890,205474,173317,24522
